Ref No,Identifier,Recipient Org:Name,Title,Amount Awarded,Currency,Award Date,Decision quarter,Area,Beneficiary Location:Name,Main art form,Funding Org:Identifier,Funding Org:Name,Grant Programme:Title,Data Source,Last modified
24799622,360G-ACE-24799622,Mat Fraser,Beauty and the Beast,76454,GBP,2013-07-24,Q2,London,Lambeth,Theatre,GB-COH-RC000742,Arts Council England,Grants for the arts,http://www.artscouncil.org.uk/funding/grants-arts/awards-made-area-and-artform/,2015-06-09
24954505,360G-ACE-24954505,Turning Point South West t/a Visual Arts South West,Strengthening the Visual Art Sector,74935,GBP,2013-07-26,Q2,South West,Stroud,Visual arts,GB-COH-RC000742,Arts Council England,Grants for the arts,http://www.artscouncil.org.uk/funding/grants-arts/awards-made-area-and-artform/,2015-06-09
24794152,360G-ACE-24794152,Susan Davis,Double Booked tour (theatre),1059,GBP,2013-08-05,Q2,Midlands,Stratford-on-Avon,Not art form specific,GB-COH-RC000742,Arts Council England,Grants for the arts,http://www.artscouncil.org.uk/funding/grants-arts/awards-made-area-and-artform/,2015-06-09
24798376,360G-ACE-24798376,Graham Keddie,One Hour,7153,GBP,2013-08-05,Q2,Midlands,Kettering,Visual arts,GB-COH-RC000742,Arts Council England,Grants for the arts,http://www.artscouncil.org.uk/funding/grants-arts/awards-made-area-and-artform/,2015-06-09
24798988,360G-ACE-24798988,Walsall Museum,Tat Man Tales,12277,GBP,2013-08-05,Q2,Midlands,Walsall,Theatre,GB-COH-RC000742,Arts Council England,Grants for the arts,http://www.artscouncil.org.uk/funding/grants-arts/awards-made-area-and-artform/,2015-06-09
24799145,360G-ACE-24799145,Ben Waddington,Still Walking,8855,GBP,2013-08-05,Q2,Midlands,Birmingham,Not art form specific,GB-COH-RC000742,Arts Council England,Grants for the arts,http://www.artscouncil.org.uk/funding/grants-arts/awards-made-area-and-artform/,2015-06-09
24804288,360G-ACE-24804288,Miriam Keye,Quick Shifts Artist Development 2013-4,14370,GBP,2013-08-05,Q2,Midlands,Nottingham,Dance,GB-COH-RC000742,Arts Council England,Grants for the arts,http://www.artscouncil.org.uk/funding/grants-arts/awards-made-area-and-artform/,2015-06-09
24804345,360G-ACE-24804345,Timothy Wilson,Gallerycamp 2013,3932,GBP,2013-08-05,Q2,Midlands,Walsall,Not art form specific,GB-COH-RC000742,Arts Council England,Grants for the arts,http://www.artscouncil.org.uk/funding/grants-arts/awards-made-area-and-artform/,2015-06-09
24815516,360G-ACE-24815516,Friends Of Whitchurch (Shropshire) Heritage,Sir Edward German Music Festival 2014,13000,GBP,2013-08-05,Q2,Midlands,Shropshire,Music,GB-COH-RC000742,Arts Council England,Grants for the arts,http://www.artscouncil.org.uk/funding/grants-arts/awards-made-area-and-artform/,2015-06-09
24831958,360G-ACE-24831958,Michelle Vacciana,Journey Cakes,8940,GBP,2013-08-05,Q2,Midlands,Nottingham,Theatre,GB-COH-RC000742,Arts Council England,Grants for the arts,http://www.artscouncil.org.uk/funding/grants-arts/awards-made-area-and-artform/,2015-06-09
