Ref No,Identifier,Recipient Org:Name,Title,Amount Awarded,Award Date,Currency,Decision quarter,Area,Beneficiary Location:Name,Description,Funding Org:Identifier,Funding Org:Name,Grant Programme:Title,Data Source,Last modified
24799622,360G-ACE-24799622,Mat Fraser,Beauty and the Beast,"£76,454",24-Jul-13,GBP,Q2,London,Lambeth,Theatre,360G-ACE,Arts Council England,Grants for the arts,http://www.artscouncil.org.uk/funding/grants-arts/awards-made-area-and-artform/,2015-06-09T00:00:00Z
24954505,360G-ACE-24954505,Turning Point South West t/a Visual Arts South West,Strengthening the Visual Art Sector,"£74,935",26-Jul-13,GBP,Q2,South West,Stroud,Visual arts,360G-ACE,Arts Council England,Grants for the arts,http://www.artscouncil.org.uk/funding/grants-arts/awards-made-area-and-artform/,2015-06-09T00:00:00Z
24794152,360G-ACE-24794152,Susan Davis,Double Booked tour (theatre),"£1,059",05-Aug-13,GBP,Q2,Midlands,Stratford-on-Avon,Not art form specific,360G-ACE,Arts Council England,Grants for the arts,http://www.artscouncil.org.uk/funding/grants-arts/awards-made-area-and-artform/,2015-06-09T00:00:00Z
24798376,360G-ACE-24798376,Graham Keddie,One Hour,"£7,153",05-Aug-13,GBP,Q2,Midlands,Kettering,Visual arts,360G-ACE,Arts Council England,Grants for the arts,http://www.artscouncil.org.uk/funding/grants-arts/awards-made-area-and-artform/,2015-06-09T00:00:00Z
24798988,360G-ACE-24798988,Walsall Museum,Tat Man Tales,"£12,277",05-Aug-13,GBP,Q2,Midlands,Walsall,Theatre,360G-ACE,Arts Council England,Grants for the arts,http://www.artscouncil.org.uk/funding/grants-arts/awards-made-area-and-artform/,2015-06-09T00:00:00Z
24799145,360G-ACE-24799145,Ben Waddington,Still Walking,"£8,855",05-Aug-13,GBP,Q2,Midlands,Birmingham,Not art form specific,360G-ACE,Arts Council England,Grants for the arts,http://www.artscouncil.org.uk/funding/grants-arts/awards-made-area-and-artform/,2015-06-09T00:00:00Z
24804288,360G-ACE-24804288,Miriam Keye,Quick Shifts Artist Development 2013-4,"£14,370",05-Aug-13,GBP,Q2,Midlands,Nottingham,Dance,360G-ACE,Arts Council England,Grants for the arts,http://www.artscouncil.org.uk/funding/grants-arts/awards-made-area-and-artform/,2015-06-09T00:00:00Z
24804345,360G-ACE-24804345,Timothy Wilson,Gallerycamp 2013,"£3,932",05-Aug-13,GBP,Q2,Midlands,Walsall,Not art form specific,360G-ACE,Arts Council England,Grants for the arts,http://www.artscouncil.org.uk/funding/grants-arts/awards-made-area-and-artform/,2015-06-09T00:00:00Z
24815516,360G-ACE-24815516,Friends Of Whitchurch (Shropshire) Heritage,Sir Edward German Music Festival 2014,"£13,000",05-Aug-13,GBP,Q2,Midlands,Shropshire,Music,360G-ACE,Arts Council England,Grants for the arts,http://www.artscouncil.org.uk/funding/grants-arts/awards-made-area-and-artform/,2015-06-09T00:00:00Z
24831958,360G-ACE-24831958,Michelle Vacciana,Journey Cakes,"£8,940",05-Aug-13,GBP,Q2,Midlands,Nottingham,Theatre,360G-ACE,Arts Council England,Grants for the arts,http://www.artscouncil.org.uk/funding/grants-arts/awards-made-area-and-artform/,2015-06-09T00:00:00Z
