Finance Year,Award Date,Fund,Programme Type,Recipient Org:Name,Title,Identifier,Amount Awarded,Scheme,Currency,Funding Org:Identifier,Funding Org:Name,Data source,Date modified
2014-2015,2015-03-31,Lottery,Annual Funding Programme,Aisling Ghear Theatre Company,Lottery grant to Aisling Ghear Theatre Company (2014-2015),GB-ACNI-5c330288265ff268fd9ca01ba5da3918,77229,,GBP,GB-SB-ACNI,Arts Council of Northern Ireland,http://www.artscouncil-ni.org/funding/previous-awards,2015-06-10
2014-2015,2015-03-31,Lottery,Annual Funding Programme,All Set Cross Cultural Project,Lottery grant to All Set Cross Cultural Project (2014-2015),GB-ACNI-9e60787703842e9361ee14d820b19ea7,27338,,GBP,GB-SB-ACNI,Arts Council of Northern Ireland,http://www.artscouncil-ni.org/funding/previous-awards,2015-06-10
2014-2015,2015-03-31,Lottery,Annual Funding Programme,An Droichead,Lottery grant to An Droichead (2014-2015),GB-ACNI-4a310dcd48efa24ea3097acbe21db304,47637,,GBP,GB-SB-ACNI,Arts Council of Northern Ireland,http://www.artscouncil-ni.org/funding/previous-awards,2015-06-10
2014-2015,2015-03-31,Exchequer,Annual Funding Programme,An Gaelaras Ltd,Exchequer grant to An Gaelaras Ltd (2014-2015),GB-ACNI-4b68d377489c5d5015cea9424a2713af,139535,,GBP,GB-SB-ACNI,Arts Council of Northern Ireland,http://www.artscouncil-ni.org/funding/previous-awards,2015-06-10
2014-2015,2015-03-31,Lottery,Annual Funding Programme,Andersonstown Traditional & Contemporary Music School,Lottery grant to Andersonstown Traditional & Contemporary Music School (2014-2015),GB-ACNI-9f7715a42a6ce4b3ac4be20284673a8a,56454,,GBP,GB-SB-ACNI,Arts Council of Northern Ireland,http://www.artscouncil-ni.org/funding/previous-awards,2015-06-10
2014-2015,2015-03-31,Lottery,Annual Funding Programme,Armagh Rhymers Educational & Cultural Organisation,Lottery grant to Armagh Rhymers Educational & Cultural Organisation (2014-2015),GB-ACNI-537d8ca2cc7be5f729bcf11cea49a114,58200,,GBP,GB-SB-ACNI,Arts Council of Northern Ireland,http://www.artscouncil-ni.org/funding/previous-awards,2015-06-10
2014-2015,2015-03-31,Exchequer,Annual Funding Programme,Array Studios,Exchequer grant to Array Studios (2014-2015),GB-ACNI-fa4aef3adb5d328eb0e06cc1c2fd9224,7945,,GBP,GB-SB-ACNI,Arts Council of Northern Ireland,http://www.artscouncil-ni.org/funding/previous-awards,2015-06-10
2014-2015,2015-03-31,Exchequer,Annual Funding Programme,Arts & Business Northern Ireland,Exchequer grant to Arts & Business Northern Ireland (2014-2015),GB-ACNI-8ac5a857c24fbfc842e105cd662c1477,463418,,GBP,GB-SB-ACNI,Arts Council of Northern Ireland,http://www.artscouncil-ni.org/funding/previous-awards,2015-06-10
2014-2015,2015-03-31,Lottery,Annual Funding Programme,Arts and Disability Forum,Lottery grant to Arts and Disability Forum (2014-2015),GB-ACNI-eed055c3ff6c7733a56e359934b86133,92946,,GBP,GB-SB-ACNI,Arts Council of Northern Ireland,http://www.artscouncil-ni.org/funding/previous-awards,2015-06-10
2014-2015,2015-03-31,Lottery,Annual Funding Programme,Arts Care,Lottery grant to Arts Care (2014-2015),GB-ACNI-9a033f4e2c9fb4dab31680d5bc542e92,87876,,GBP,GB-SB-ACNI,Arts Council of Northern Ireland,http://www.artscouncil-ni.org/funding/previous-awards,2015-06-10
2014-2015,2015-03-31,Lottery,Annual Funding Programme,Arts for All,Lottery grant to Arts for All (2014-2015),GB-ACNI-b82612cc80038cb94bfc89320dc68925,56758,,GBP,GB-SB-ACNI,Arts Council of Northern Ireland,http://www.artscouncil-ni.org/funding/previous-awards,2015-06-10
2014-2015,2015-03-31,Lottery,Annual Funding Programme,ArtsEkta,Lottery grant to ArtsEkta (2014-2015),GB-ACNI-797de597d5f5cdafaf4207b7c10615f7,55844,,GBP,GB-SB-ACNI,Arts Council of Northern Ireland,http://www.artscouncil-ni.org/funding/previous-awards,2015-06-10
2014-2015,2015-03-31,Exchequer,Annual Funding Programme,Audiences Northern Ireland,Exchequer grant to Audiences Northern Ireland (2014-2015),GB-ACNI-27e2ec0e24533cfec3c7462250ee7641,239202,,GBP,GB-SB-ACNI,Arts Council of Northern Ireland,http://www.artscouncil-ni.org/funding/previous-awards,2015-06-10
2014-2015,2015-03-31,Exchequer,Annual Funding Programme,Beat Carnival,Exchequer grant to Beat Carnival (2014-2015),GB-ACNI-69303f0f7acb32b1a76a1e1d3074f548,155200,,GBP,GB-SB-ACNI,Arts Council of Northern Ireland,http://www.artscouncil-ni.org/funding/previous-awards,2015-06-10
2014-2015,2015-03-31,Exchequer,Annual Funding Programme,Belfast Community Circus School,Exchequer grant to Belfast Community Circus School (2014-2015),GB-ACNI-a22397064e6381c2bc83cdd2f88ea904,163299,,GBP,GB-SB-ACNI,Arts Council of Northern Ireland,http://www.artscouncil-ni.org/funding/previous-awards,2015-06-10
2014-2015,2015-03-31,Exchequer,Annual Funding Programme,Belfast Exposed Photography,Exchequer grant to Belfast Exposed Photography (2014-2015),GB-ACNI-6d862b0f24838bbb1fad52ba01700855,147479,,GBP,GB-SB-ACNI,Arts Council of Northern Ireland,http://www.artscouncil-ni.org/funding/previous-awards,2015-06-10
2014-2015,2015-03-31,Exchequer,Annual Funding Programme,Belfast Festival at Queen's,Exchequer grant to Belfast Festival at Queen's (2014-2015),GB-ACNI-28ca12a94e9321a04f639de6005be603,189150,,GBP,GB-SB-ACNI,Arts Council of Northern Ireland,http://www.artscouncil-ni.org/funding/previous-awards,2015-06-10
2014-2015,2015-03-31,Lottery,Annual Funding Programme,Belfast Music Society,Lottery grant to Belfast Music Society (2014-2015),GB-ACNI-f604af3f64ae5db8244947ddb78e038d,42583,,GBP,GB-SB-ACNI,Arts Council of Northern Ireland,http://www.artscouncil-ni.org/funding/previous-awards,2015-06-10
2014-2015,2015-03-31,Lottery,Annual Funding Programme,Belfast Print Workshop,Lottery grant to Belfast Print Workshop (2014-2015),GB-ACNI-ffbd0a4b1c03b4ccc7e0dc50b7d6f583,89000,,GBP,GB-SB-ACNI,Arts Council of Northern Ireland,http://www.artscouncil-ni.org/funding/previous-awards,2015-06-10
2014-2015,2015-03-31,Lottery,Annual Funding Programme,BelfastTrad (Traditional Music and Dance Society),Lottery grant to BelfastTrad (Traditional Music and Dance Society) (2014-2015),GB-ACNI-cfca6d7cfd67505236e0ca9d5abf1e86,19400,,GBP,GB-SB-ACNI,Arts Council of Northern Ireland,http://www.artscouncil-ni.org/funding/previous-awards,2015-06-10
2014-2015,2015-03-31,Exchequer,Annual Funding Programme,Big Telly Theatre Company,Exchequer grant to Big Telly Theatre Company (2014-2015),GB-ACNI-28e061c2a1491cbc11cecc0a98400644,150350,,GBP,GB-SB-ACNI,Arts Council of Northern Ireland,http://www.artscouncil-ni.org/funding/previous-awards,2015-06-10
2014-2015,2015-03-31,Lottery,Annual Funding Programme,Blackstaff Press Limited,Lottery grant to Blackstaff Press Limited (2014-2015),GB-ACNI-24e9a6fff8e7d9c6f56a0bad9863898f,82200,,GBP,GB-SB-ACNI,Arts Council of Northern Ireland,http://www.artscouncil-ni.org/funding/previous-awards,2015-06-10
2014-2015,2015-03-31,Lottery,Annual Funding Programme,Bruiser Theatre Company,Lottery grant to Bruiser Theatre Company (2014-2015),GB-ACNI-bdb1870b32812e1c77538df8cf05f4c3,106703,,GBP,GB-SB-ACNI,Arts Council of Northern Ireland,http://www.artscouncil-ni.org/funding/previous-awards,2015-06-10
