Identifier,Recipient Org:Name,Title,Recipient Org:Postal Code,Type,Description,Amount Awarded,Currency,Financial Year,Award Date,Beneficiary Location:Name,Funding Org:Identifier,Funding Org:Name,Data source,Last modified
360G-ACW-20050353,372 (Barry) Squadron Air Training Corp,Grant to 372 (Barry) Squadron Air Training Corp (2005 ~ 2006),CF63 2HE,Capital (Lottery),The purchase of drums for the Air Training Corps Squadron Band.,2900,GBP,2005 ~ 2006,2006-03-31,South Wales Central\Vale of Glamorgan,GB-COH-RC000759,Arts Council of Wales,https://www.whatdotheyknow.com/request/grants_made_as_open_data,2015-09-06
360G-ACW-20050035,56 Group Wales,Grant to 56 Group Wales (2005 ~ 2006),NP15 1BL,Organisations: Small,"3 exhibitions of members' work to celebrate 50 years of the Group, at the Washington Gallery, the National Library of Wales & Coleg Sir Gar.",4437,GBP,2005 ~ 2006,2006-03-31,South Wales East\Monmouth,GB-COH-RC000759,Arts Council of Wales,https://www.whatdotheyknow.com/request/grants_made_as_open_data,2015-09-06
360G-ACW-20050025,Aberdyfi Fun Festival,Grant to Aberdyfi Fun Festival (2005 ~ 2006),SY20 8LU,Organisations: Large,"This is an application towards the Aberdyfi Summer Fun Festival 2005 where the activity comprises of 56 workshops (lantern making, circus skills, samba and sculpture) culminating in a procession through the town and a beachfront performance.",3500,GBP,2005 ~ 2006,2006-03-31,Mid & West Wales\Montgomeryshire,GB-COH-RC000759,Arts Council of Wales,https://www.whatdotheyknow.com/request/grants_made_as_open_data,2015-09-06
360G-ACW-20051236,Abersoch Jazz Festival,Grant to Abersoch Jazz Festival (2005 ~ 2006),LL53 7EB,Organisations: Large,"The Abersoch Jazz Festival (9th - 11th June 2006) is organised annualy by a local voluntary committee who are proud to present 24 fantastic bands and soloists from America, Holland, Norway and the UK, who perform a wide variety of Jazz styles to suit all ages spread between eight venues in the town.",4000,GBP,2005 ~ 2006,2006-03-31,North Wales\Arfon,GB-COH-RC000759,Arts Council of Wales,https://www.whatdotheyknow.com/request/grants_made_as_open_data,2015-09-06
360G-ACW-20050136,Abersoch Jazz Festival,Grant to Abersoch Jazz Festival (2005 ~ 2006),LL53 7EB,Organisations: Small,"Applicant states:
The Abersoch Jazz festival is organised by a voluntary group in partnership with helpers, community, other organisations and musicians/artists. The whole village has a 'Musical weekend' feel. 
It is growing in quality and gaining wide respect.
Everyone has the opportunity to hear, enjoy and experience a wide range of jazz music and additional activities.
The event is widely marketed by posters, flyers, website, papers, magazines and the media and attracts an audience locally, from the UK and a few internationally. Musicians from big bands to soloists perform in 9 venues.
Children participate in school workshops, opportunities to play, compete in competitions, make jazz posters, decorate hats/brollies, exhibit art, perform in gospel service and join in Mardi-Gras type parade. 
Adults can enjoy a wide choice of music and venues. The music ranges from Gipsy Jazz to Dixie Land. They can join in the parade, gospel service, competitions and busking. 
Extra activities expand the local and cultural experience, and make the event more enjoyable for all.
",3000,GBP,2005 ~ 2006,2006-03-31,North Wales\Arfon,GB-COH-RC000759,Arts Council of Wales,https://www.whatdotheyknow.com/request/grants_made_as_open_data,2015-09-06
360G-ACW-20050222,Aberystwyth Arts Centre,Grant to Aberystwyth Arts Centre (2005 ~ 2006),SY23 3DE,Annual Revenue,Annual Revenue 2005/06,384363,GBP,2005 ~ 2006,2006-03-31,Mid & West Wales\Ceredigion,GB-COH-RC000759,Arts Council of Wales,https://www.whatdotheyknow.com/request/grants_made_as_open_data,2015-09-06
360G-ACW-20050222,Aberystwyth Arts Centre,Grant to Aberystwyth Arts Centre (2005 ~ 2006),SY23 3DE,Arts Outside Cardiff,"Project Proposal:  Aberystwyth Arts Centre's application is focussed on pushing forward its three main objectives (as contained in its recently produced five-year Plan): the creation and presentation of professional work; professional development and training; and community arts development.

Presentation Programme - Overall aims to include improving quality at all levels, programming high profile UK and international work in theatre and dance, introducing split weeks where appropriate and to develop strategic marketing and educational packages.  Companies to include; Hull Truck, Northern Broadsides, Theatre Babel, Shobana Jeyasingh Dance Company, Planicie Banderita Dance Company from Argentina and Ridiculusmus. There is also a commitment to forming more strategic partnerships with Creu Cymru and other Welsh venues to improve programming planning.
Production Programme - The Arts Centre will work on its own projects as well as working in partnership with individuals, companies and organisations in Wales, the UK and internationally.  Overriding aims include improving the quality and production values of existing productions and link to planned tours and to develop a series of new productions of high quality.

Specific key projects will include:
·	development of new and existing professional touring productions including innovative adaptations of literature, musical theatre, plays for young people and new writing
·	commissioning of new plays for full production and tour alongside mentoring projects for new writers and staging of works in progress
·	production and tour of work by emerging professionals linked to the Arts Centre's professional development programme
·	develop a series of programme-linked workshops and talks
·	carry out strategic marketing and audience research initiatives and nurture critical debate within the profession
·	establish a strong identity and profile for the work through thematic strands and collaborations with leading practitioners.
",38000,GBP,2005 ~ 2006,2006-03-31,Mid & West Wales\Ceredigion,GB-COH-RC000759,Arts Council of Wales,https://www.whatdotheyknow.com/request/grants_made_as_open_data,2015-09-06
360G-ACW-20041455,Aberystwyth Arts Centre,Grant to Aberystwyth Arts Centre (2005 ~ 2006),SY23 3DE,Capital (Lottery),Funding to RIBA Stage D,93600,GBP,2005 ~ 2006,2006-03-31,Mid & West Wales\Ceredigion,GB-COH-RC000759,Arts Council of Wales,https://www.whatdotheyknow.com/request/grants_made_as_open_data,2015-09-06
360G-ACW-20051155,Aberystwyth Arts Centre,Grant to Aberystwyth Arts Centre (2005 ~ 2006),SY23 3DE,Organisations: Large,"A one-year project to present Aberystwyth Arts Centre's annual visual arts programme of exhibitions and education work (workshops, related activities) for 2006/07.",29500,GBP,2005 ~ 2006,2006-03-31,Mid & West Wales\Ceredigion,GB-COH-RC000759,Arts Council of Wales,https://www.whatdotheyknow.com/request/grants_made_as_open_data,2015-09-06
360G-ACW-20051156,Aberystwyth Arts Centre,Grant to Aberystwyth Arts Centre (2005 ~ 2006),SY23 3DE,Organisations: Large,"A comprehensive and extensive multi-artform participatory arts programme aimed at all sections of the local and wider community comprising activities for schools, community groups, weekly courses for children and adults, holiday workshops, special projects and activities specifically devised for various disadvantaged and excluded groups.  Work includes both onsite activity, which makes use of the extensive facilities at Aberystwyth Arts Centre, and off-site outreach or collaborative work.",50000,GBP,2005 ~ 2006,2006-03-31,Mid & West Wales\Ceredigion,GB-COH-RC000759,Arts Council of Wales,https://www.whatdotheyknow.com/request/grants_made_as_open_data,2015-09-06
360G-ACW-20051276,Aberystwyth Arts Centre,Grant to Aberystwyth Arts Centre (2005 ~ 2006),SY23 3DE,Organisations: Small,The aim of the review is to build new sustainable streams of income through fundraising. Building on our success in securing corporate support we need to establish whether a completely new fundraising strategy with associated support would deliver a much higher level of income to the company from a more diverse array of funders.,5000,GBP,2005 ~ 2006,2006-03-31,Mid & West Wales\Ceredigion,GB-COH-RC000759,Arts Council of Wales,https://www.whatdotheyknow.com/request/grants_made_as_open_data,2015-09-06
360G-ACW-20051525,Aberystwyth Arts Centre,Grant to Aberystwyth Arts Centre (2005 ~ 2006),SY23 3DE,Organisations: Training,"A vocational training project for emerging theatre practitioners working with a professional director and team to develop and present a high quality performance at a professional venue complemented by administrative and entrepreneurship training.
This offers a route for progression for a new generation of skilled theatre practitioners and theatre companies.",20000,GBP,2005 ~ 2006,2006-03-31,Mid & West Wales\Ceredigion,GB-COH-RC000759,Arts Council of Wales,https://www.whatdotheyknow.com/request/grants_made_as_open_data,2015-09-06
360G-ACW-20030309,Aberystwyth Camera Club,Grant to Aberystwyth Camera Club (2005 ~ 2006),SY23 3HQ,Capital (Lottery),"Purchase of photographic equipment, a display stand and a set of photographic frames for exhibitions.",4943,GBP,2005 ~ 2006,2006-03-31,Mid & West Wales\Ceredigion,GB-COH-RC000759,Arts Council of Wales,https://www.whatdotheyknow.com/request/grants_made_as_open_data,2015-09-06
360G-ACW-20050875,Aberystwyth Music Club,Grant to Aberystwyth Music Club (2005 ~ 2006),SY23 1EY,Organisations: Small,"Mounting evening and lunchtime classical music concerts given by small professional groups, along with a schools workshop and a concert given by local young local musicians to raise funds for the Friends of Ceredigion Young Musicians.",1150,GBP,2005 ~ 2006,2006-03-31,Mid & West Wales\Ceredigion,GB-COH-RC000759,Arts Council of Wales,https://www.whatdotheyknow.com/request/grants_made_as_open_data,2015-09-06
360G-ACW-20050225,Aberystwyth Music Fest,Grant to Aberystwyth Music Fest (2005 ~ 2006),SY23 3DE,Annual Revenue,Annual Revenue 2005/06,5000,GBP,2005 ~ 2006,2006-03-31,Mid & West Wales\Ceredigion,GB-COH-RC000759,Arts Council of Wales,https://www.whatdotheyknow.com/request/grants_made_as_open_data,2015-09-06
360G-ACW-20050501,Access All Areas,Grant to Access All Areas (2005 ~ 2006),SY3 9HS,Organisations: Small,"The Jaipur Kawa Brass Band, an authentic 10-piece gypsy brass band from Rajasthan in Northern India, will be touring in Europe from June to October 2005 with appearances at festivals, melas, carnivals, clubs, arts centres, theatres, schools and street events. The tour will visit a number of locations in Wales.",4853,GBP,2005 ~ 2006,2006-03-31,Outside Wales,GB-COH-RC000759,Arts Council of Wales,https://www.whatdotheyknow.com/request/grants_made_as_open_data,2015-09-06
360G-ACW-20050598,African Friendship Association,Grant to African Friendship Association (2005 ~ 2006),SA1 4AW,Organisations: Small,"We would like to promote African Culture in order to show Wales and British people how we can contribute to this society. This event will break down barriers in terms of racism and it will allow them to discover what the African people are capable of. We will organise a one day cultural event in a hired hall at which the following activities will be performed : African dances, songs, story telling and African fashion, African cuisine and poetry competition. It will be taking place in Swansea, in a hired hall for approx 250 people, including local people.",750,GBP,2005 ~ 2006,2006-03-31,South Wales West\Swansea West,GB-COH-RC000759,Arts Council of Wales,https://www.whatdotheyknow.com/request/grants_made_as_open_data,2015-09-06
360G-ACW-20050364,Amabile Music Team Ltd.,Grant to Amabile Music Team Ltd. (2005 ~ 2006),NP10 9JG,Organisations: Small,"The first International Trumpet Festival Wales, to be held at Galeri, Caernarfon from 23-25 September 2005. To include performances by world renowned artists and tuition and masterclasses for participants.",4999,GBP,2005 ~ 2006,2006-03-31,South Wales East\Newport West,GB-COH-RC000759,Arts Council of Wales,https://www.whatdotheyknow.com/request/grants_made_as_open_data,2015-09-06
360G-ACW-20041622,Amman Valley Enterprise,Grant to Amman Valley Enterprise (2005 ~ 2006),SA18 3DB,Organisations: Large,"Applicant states:

Steer studios is able to provide a wide range of services and facilities from its base in Tairgwaith and at various venues within the community. The services and facilities that Steer is able to offer include:
- Education and training opportunities in music and multimedia.
- Workshop Provision.
- Music recordings.
- Music erhearsals.
- Equipment hire.
- CD mixing & editing.
- Graphic design.
- Work experience.",20000,GBP,2005 ~ 2006,2006-03-31,Mid & West Wales\Carmarthen East & Dinefwr,GB-COH-RC000759,Arts Council of Wales,https://www.whatdotheyknow.com/request/grants_made_as_open_data,2015-09-06
360G-ACW-20041517,Antur Liwt,Grant to Antur Liwt (2005 ~ 2006),LL16 3TS,Organisations: Large,"An application for funding towards a one year post of part-time Arts Development Officer - to promote and foster the artistic development of Antur Liwt as an organisation. 

Antur Liwt's aims are to advance the education of the public, in particular children and young people in the performing arts and traditional Welsh culture. The organisation is based in Llandyrnog, Denbighshire
",11000,GBP,2005 ~ 2006,2006-03-31,North Wales\Vale of Clwyd,GB-COH-RC000759,Arts Council of Wales,https://www.whatdotheyknow.com/request/grants_made_as_open_data,2015-09-06
