Financial Year,URN,Identifier,Recipient Org:Name,Title,Amount Awarded,Award Date,Currency,Grant Programme:Title,Main_Sport,Region,Local_Authority,Parliamentary_Constituency,Organisation Type,Funding Org:Identifier,Funding Org:Name,Data source,Last modified
2009/2010,20041807,360G-ACW-20041807,Wiltshire Council,CSCS,5044,2009-05-19,GBP,Community Sports Coach Scheme,Sport Participation and Capacity Building,South West,Wiltshire,Devizes,Local Authority,GB-COH-RC000766,Sport England,http://www.sportengland.org/funding/investments-weve-made/,2015-06-11
2009/2010,20041815,360G-ACW-20041815,University of Gloucestershire,CSCS,841,2009-05-19,GBP,Community Sports Coach Scheme,Sport Participation and Capacity Building,South West,Gloucester,Tewkesbury,County Sports Partnership,GB-COH-RC000766,Sport England,http://www.sportengland.org/funding/investments-weve-made/,2015-06-11
2009/2010,20041869,360G-ACW-20041869,ExDRA,Community Sports Coach Scheme,40132,2009-05-19,GBP,Community Sports Coach Scheme,Sport Participation and Capacity Building,East of England,Chelmsford,Chelmsford,Other public sector statutory body,GB-COH-RC000766,Sport England,http://www.sportengland.org/funding/investments-weve-made/,2015-06-11
2009/2010,20041873,360G-ACW-20041873,Herts Sports Partnership,Community Sports Coach Scheme,13868,2009-05-19,GBP,Community Sports Coach Scheme,Sport Participation and Capacity Building,East of England,Welwyn Hatfield,Welwyn Hatfield,County Sports Partnership,GB-COH-RC000766,Sport England,http://www.sportengland.org/funding/investments-weve-made/,2015-06-11
2009/2010,20041877,360G-ACW-20041877,Norfolk County Council,Community Sports Coach Scheme,24813,2009-05-19,GBP,Community Sports Coach Scheme,Sport Participation and Capacity Building,East of England,Norwich,Norwich South,County Sports Partnership,GB-COH-RC000766,Sport England,http://www.sportengland.org/funding/investments-weve-made/,2015-06-11
2009/2010,20041881,360G-ACW-20041881,Suffolk Coastal District Council,Community Sports Coach Scheme,11027,2009-05-19,GBP,Community Sports Coach Scheme,Sport Participation and Capacity Building,East of England,Suffolk Coastal,Suffolk Coastal,County Sports Partnership,GB-COH-RC000766,Sport England,http://www.sportengland.org/funding/investments-weve-made/,2015-06-11
2009/2010,20042489,360G-ACW-20042489,Tyne and Wear Sport,Community Sports Coaches,19000,2009-05-19,GBP,Community Sports Coach Scheme,Sport Participation and Capacity Building,North East,Sunderland,Washington and Sunderland West,Other,GB-COH-RC000766,Sport England,http://www.sportengland.org/funding/investments-weve-made/,2015-06-11
2009/2010,20042493,360G-ACW-20042493,Durham Sport,Community Sports Coaches,23667,2009-05-19,GBP,Community Sports Coach Scheme,Sport Participation and Capacity Building,North East,County Durham,City of Durham,County Sports Partnership,GB-COH-RC000766,Sport England,http://www.sportengland.org/funding/investments-weve-made/,2015-06-11
2009/2010,20042497,360G-ACW-20042497,Northumberland Sport,Community Sports Coaches,17431,2009-05-19,GBP,Community Sports Coach Scheme,Sport Participation and Capacity Building,North East,Northumberland,Hexham,County Sports Partnership,GB-COH-RC000766,Sport England,http://www.sportengland.org/funding/investments-weve-made/,2015-06-11
2009/2010,20050345,360G-ACW-20050345,Tees Valley Sport,Community Sports Coaches,125,2009-05-19,GBP,Community Sports Coach Scheme,Sport Participation and Capacity Building,North East,Middlesbrough,Middlesbrough,County Sports Partnership,GB-COH-RC000766,Sport England,http://www.sportengland.org/funding/investments-weve-made/,2015-06-11
2009/2010,20050669,360G-ACW-20050669,Active Luton,CSCS,8044,2009-05-19,GBP,Community Sports Coach Scheme,Sport Participation and Capacity Building,East of England,Luton,Luton South,County Sports Partnership,GB-COH-RC000766,Sport England,http://www.sportengland.org/funding/investments-weve-made/,2015-06-11
2009/2010,20050753,360G-ACW-20050753,Central Council of Physical Recreation,CCPR core funding 2005-10,1586770,2009-05-18,GBP,Funded Partners,Sports Development,London,Westminster,Cities of London and Westminster,Other,GB-COH-RC000766,Sport England,http://www.sportengland.org/funding/investments-weve-made/,2015-06-11
2009/2010,20050753,360G-ACW-20050753,Central Council of Physical Recreation,CCPR core funding 2005-10,6438,2010-02-22,GBP,Funded Partners,Sports Development,London,Westminster,Cities of London and Westminster,Other,GB-COH-RC000766,Sport England,http://www.sportengland.org/funding/investments-weve-made/,2015-06-11
2009/2010,20050915,360G-ACW-20050915,Youth Sport Trust,YST (Step Into Sport),2104168,2009-08-18,GBP,Leadership & Volunteering,Sport Participation and Capacity Building,East Midlands,Charnwood,Loughborough,Charity,GB-COH-RC000766,Sport England,http://www.sportengland.org/funding/investments-weve-made/,2015-06-11
2009/2010,20050919,360G-ACW-20050919,British Sports Trust,Sport Leaders UK (SIS funding),280000,2009-07-30,GBP,Funded Partners,Sport Participation and Capacity Building,South East,Milton Keynes,Milton Keynes North,Other,GB-COH-RC000766,Sport England,http://www.sportengland.org/funding/investments-weve-made/,2015-06-11
2009/2010,20050935,360G-ACW-20050935,Cumbria Sport,CSCS - Phase 1,4038,2009-05-19,GBP,Community Sports Coach Scheme,Sport Participation and Capacity Building,North West,Carlisle,Carlisle,County Sports Partnership,GB-COH-RC000766,Sport England,http://www.sportengland.org/funding/investments-weve-made/,2015-06-11
2009/2010,20051015,360G-ACW-20051015,University of Bournemouth (Active Dorset),Community Sports Coach Scheme,50650,2009-05-19,GBP,Community Sports Coach Scheme,Sport Participation and Capacity Building,South West,Poole,Bournemouth West,County Sports Partnership,GB-COH-RC000766,Sport England,http://www.sportengland.org/funding/investments-weve-made/,2015-06-11
2009/2010,20051355,360G-ACW-20051355,Youth Sport Trust,YST (Club Links),540000,2009-08-18,GBP,Funded Partners,Multi Sports,East Midlands,Charnwood,Loughborough,Charity,GB-COH-RC000766,Sport England,http://www.sportengland.org/funding/investments-weve-made/,2015-06-11
2009/2010,20051469,360G-ACW-20051469,Alderman Smith School on behalf of Nuneaton Badminton Association,Modernisation of Facilities,20000,2009-04-30,GBP,Community Club Development Programme,Badminton,West Midlands,North Warwickshire,Nuneaton,"Formally constituted club, association or trust",GB-COH-RC000766,Sport England,http://www.sportengland.org/funding/investments-weve-made/,2015-06-11
2009/2010,20051495,360G-ACW-20051495,Jesse Boot Community Trust,Additional Basketball Area,363,2009-05-28,GBP,Community Club Development Programme,Basketball,East Midlands,Nottingham,Nottingham East,"Formally constituted club, association or trust",GB-COH-RC000766,Sport England,http://www.sportengland.org/funding/investments-weve-made/,2015-06-11
2009/2010,20051675,360G-ACW-20051675,Merseyside Sport,CSCS - Phase 2,21437,2009-05-19,GBP,Community Sports Coach Scheme,Sport Participation and Capacity Building,North West,Liverpool,"Liverpool, Riverside",County Sports Partnership,GB-COH-RC000766,Sport England,http://www.sportengland.org/funding/investments-weve-made/,2015-06-11
2009/2010,20051677,360G-ACW-20051677,Lancashire Sport Partnership Limited,CSCS - Phase 2,21857,2009-05-19,GBP,Community Sports Coach Scheme,Sport Participation and Capacity Building,North West,Wyre,Wyre and Preston North,County Sports Partnership,GB-COH-RC000766,Sport England,http://www.sportengland.org/funding/investments-weve-made/,2015-06-11
2009/2010,20061182,360G-ACW-20061182,IDEA,Cultural Services Unit,50000,2009-10-15,GBP,National Programme,Multi Sports,London,Islington,Islington South and Finsbury,Other public sector statutory body,GB-COH-RC000766,Sport England,http://www.sportengland.org/funding/investments-weve-made/,2015-06-11
2009/2010,20064588,360G-ACW-20064588,Partnerships for Schools,PfS (BFS post),80000,2010-02-10,GBP,National Programme,Multi Sports,London,Westminster,Cities of London and Westminster,Other public sector statutory body,GB-COH-RC000766,Sport England,http://www.sportengland.org/funding/investments-weve-made/,2015-06-11
2009/2010,20066828,360G-ACW-20066828,NAVCA,Sports Partnerships Development Manager,53362,2009-05-19,GBP,National Programme,Multi Sports,Yorkshire and The Humber,Sheffield,Sheffield Central,Other,GB-COH-RC000766,Sport England,http://www.sportengland.org/funding/investments-weve-made/,2015-06-11
2009/2010,20070562,360G-ACW-20070562,Youth Sport Trust,RAMP 2006-08,166500,2009-09-11,GBP,National Programme,Sport Participation and Capacity Building,East Midlands,Charnwood,Loughborough,Charity,GB-COH-RC000766,Sport England,http://www.sportengland.org/funding/investments-weve-made/,2015-06-11
2009/2010,20072074,360G-ACW-20072074,West Northamptonshire Development Corporation,Sports Specialist Planning Consultancy,25000,2009-11-04,GBP,Community Investment Fund,Multi Sports,East Midlands,Northampton,Northampton South,Other public sector statutory body,GB-COH-RC000766,Sport England,http://www.sportengland.org/funding/investments-weve-made/,2015-06-11
2009/2010,20074360,360G-ACW-20074360,Regeneration East Midlands,BSF Programme Manager,34000,2009-11-04,GBP,Community Investment Fund,Multi Sports,East Midlands,Nottingham,Nottingham East,Other,GB-COH-RC000766,Sport England,http://www.sportengland.org/funding/investments-weve-made/,2015-06-11
